Approval?,Project Name,City,State,Project Preview Description,Char Count,Project Description ,Char Count,Key Highlight (Optional),Char Count,Focus Area(s) (Dropdown),Area Type,Population Size (City),Population Data Year,Gini Coefficient,Testimonial,Testimonial Author,Testimonial Author Title/Role,Partner(s) ,Support Type(s),Status,Start Year,End Year,Maturity Level,Cover Image (URL(s)),Project Link (URL),Resources (URL(s)),Latitude,Longitude
Request Pending,Maryland Philanthropy Network,Baltimore,Maryland,"MPN functions as both a network catalyst and a collaborative architect, enabling funders to come together, learn together, and act together. ",141,"MPN functions as both a network catalyst and a collaborative architect, enabling funders to come together, learn together, and act together. ",141,"Instead of acting only as funders, philanthropic partners serve as the central convener and coordinator — aligning strategies, pooling resources, and driving a collective shift from short-term crisis response to long-term prevention and equity. This structure enables funders to co-design with communities, share risk, and adapt together, creating a more powerful and systemic approach to to tackling issues alongside the community than any one actor could achieve alone.",471,Housing,Urban,"568,271",2024,0.5139,"“There are many different ways to measure success and impact. In federal grant compliance, for example, meeting certain data and evaluation measures is considered successful. But success may be measured differently for people with lived experience. As funders, we work to better understand different measures of success and provide the best support for our partners and grantees."" ",Aliza Sollins,"Program Associate, Annie E. Casey Foundation Baltimore Civic Site","Annie E. Casey Foundation, Maryland Department of Housing and Community Development, Community Development Network of Maryland, Health Care for the Homeless","Cross-sector Collaboration, Strategic Co-investments",Active,2019,,,,https://www.marylandphilanthropy.org/,"https://www.placebasedimpact.nationswell.com/case-studies/baltimore 
https://communitydevelopmentmd.org/ 
https://www.hchmd.org/ 
https://www.aecf.org/",39.2905023,-76.6104072
Approved,City of Homes,Springfield,Massachusetts,,0,"City of Homes is an innovative affordable housing initiative led by Way Finders that redevelops vacant and blighted properties in Springfield, Massachusetts into affordable homes for low- and moderate-income families. Launched in 2022 and supported by philanthropic and public partners, the program adjusted the attorney receivership model to allow for nonprofit property acquisitions, which addresses racial and economic inequities in homeownership and stabilizes long-disinvested neighborhoods. With ten units already underway and ongoing independent evaluation, City of Homes is refining a scalable model that builds generational wealth and strengthens community resilience.",677,"City of Homes introduces a new tool in the affordable housing landscape by blending philanthropy, public investment, and legal innovation. It not only expands access to homeownership for communities of color historically shut out of the market, but also demonstrates how redevelopment of vacant properties can create generational wealth and long-term neighborhood stability. Recognition through the 2024 Massachusetts Bond Bill and the Gateway Cities Innovator Award underscores its potential as a replicable model.",515,"Economic Mobility & Generational Wealthbuilding, Housing",Urban,"152,600",2025,0.4783,"“We are thrilled that MassMutual Foundation is supporting the expansion of this initiative,” says Keith Fairey, President and CEO of Way Finders. “When we take long-neglected properties, renovate them, and offer them at affordable prices, we accomplish three important goals. We bring housing back onto the tax rolls. We improve property values in Springfield neighborhoods. And we help local families build the kind of generational wealth through homeownership that many have been excluded from.”",Keith Fairey,"President and CEO, Way Finders",MassMutual Foundation,,Active,2023,,,,https://www.massmutual.com/about-us/news-and-press-releases/press-releases/2024/10/massmutual-foundation-funds-expansion-of-way-finders-city-of-homes,,42.1013104,-72.5892742
Approved - Adjusting Language ,BlackRock Foundation,Union County,South Carolina,,0,"The Union County initiative channels philanthropy into bridging the skills gap by strengthening the local pipeline from classrooms to careers. By investing in planning, infrastructure, and partnerships with institutions across county lines, this work aims to drive long-term socioeconomic change rooted in community leadership.",327,"The BlackRock Foundation chose to invest not just in programs, but in the infrastructure and vision of the community itself. By equipping local organizations with the capacity and resources for planning, they catalyzed the conditions for resilience and generational impact far beyond the grant window.

 ",304,"Economic Mobility & Generational Wealthbuilding, Housing",Rural,"26,678",2024,0.46,,,,"BlackRock, Partners for Rural Impact, MycoWorks, Union County Schools, Spartanburg County Foundation, United Way of the Piedmont, Spartanburg Academic Movement",Strategic Co-investments,Planned,,,,,,,34.6612778,-81.6035062
Approved,George Kaiser Family Foundation,Tulsa,Oklahoma,,0,"The George Kaiser Family Foundation (GKFF) takes a neighborhood-by-neighborhood approach, listening to residents, mapping assets, and responding to specific needs. By tailoring strategies to zipcodes rather than a one size fits all approach, GKFF builds trust, strengthens community capacity, and ensures initiatives like cultural hubs and incubators reflect and celebrates the lived experience of Tulsa’s diverse neighborhoods.",428,"GKFF takes a fundamentally different approach to philanthropy by committing to generations rather than grant cycles. Its investments are designed to address systemic barriers that create durable pathways to upward mobility. By tackling interlocking issues that range from education and workforce to build environment, and paired with a neighborhood-by-neighborhood strategy, GKFF centers their work around the goal of handing over the keys to residents so that communities themselves can lead and sustain lasting change",519,"Economic Mobility & Generational Wealthbuilding, Housing, Community Leadership, Skills Training","Urban, Suburban, Rural","1,059,800",2024,0.52,,,,"George Kaiser Family Foundation, Eastside Rise, Northside Neighbors, Growing Together Tulsa",,Planned,,,,,,,36.1551375,-95.989501
Request Pending,Play Equity Fund,Los Angeles,California,,0,"In Los Angeles, philanthropy is advancing play equity — the idea that every young person, regardless of zip code, race, or income, deserves access to sports, recreation, and safe spaces to play. Rather than building new infrastructure from scratch, funders channel resources through the Play Equity Fund (PEF), a trusted intermediary that strengthens neighborhood organizations already working on the ground. This approach reweaves a fragmented system into a cohesive movement, amplifying small, hyper-local groups and ensuring that investments reflect community priorities across one of the nation’s most diverse and sprawling cities.",635,"A defining feature of Los Angeles’s approach to play equity is the creation of “intentional randomness,” ensuring every young person has access to small but pivotal opportunities that can alter a life’s trajectory. As Derek Steele of the Social Justice Learning Institute explains, those opportunities may feel random to the young person (a teacher’s encouragement, a parent insisting on soccer practice) but they are intentionally created by caring adults and community programs. By partnering with organizations like PEF to strengthen sports-based youth development and reimagine the built environment, LA’s play equity movement is making those life-changing moments more common, accessible, and equitable across neighborhoods.",729,"Sports, Community Leadership, Care Support Systems, Public Space, Youth Leadership",Urban,"3,879,000",2024,0.5,,,,"the Social Justice Learning Institute, Youth ‘N Motion Academy, Play Equity Fund, LA84 Foundation, Nike",,Planned,,,,,,,34.0549076,-118.242643
"Holding (but when ready, ask about Alaska and maybe the Dakotas?)",Partners for Rural Impact,East Texas,Texas,,0,[I would recommend featuring their Texas work: https://partnersrural.org/etxc2c/ or Appalachia https://partnersrural.org/appalachian-cradle-to-career-partnership/],163,,0,,,,,,,,,,,Planned,,,,,,,,
Request Pending,ServiceNow,New York,New York,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,40.7127753,-74.0059728
Request Pending,3280 Initiative,Orlando,Florida,,0,"LIFT Orlando partners with business and community leaders to revitalize Orlando’s 32805 neighborhoods, focusing on housing, healthcare, education, and small business growth. KPMG is supporting this work with a $1 million, three-year investment to expand access to early childhood education, healthcare, and economic opportunities in historically underserved communities like West Lakes.",386,,0,"Skills Training, Economic Opportunity, Housing",Urban,"334,854",2024,0.49,,,,LIFT Orlando,,Planned,,,,,,,28.5383832,-81.3789269
Approved - awaiting copy,Delta Philanthropy Forum,,Mississippi,,0,"The Delta Philanthropy Forum (DPF) unites philanthropies, CDFIs, and investors to address persistent poverty in the Arkansas–Mississippi Delta by pooling resources and elevating community voices. It has raised awareness of the region’s severe underfunding, built cross-sector coalitions on education and economic mobility, and set a multi-year plan to expand membership and a $2–3 million endowment. Through convenings that amplify emerging leaders and community-driven strategies, DPF is shifting the Delta from fragmented and under-resourced to coordinated and opportunity-focused",582,,0,,Rural,,,,,,,,,Planned,,,,,,,,
Approved,South Atlanta ,Atlanta,Georgia,,0,"South Atlanta is undergoing a long-term transformation shaped by deep, place-based investment and community leadership. For more than two decades, consistent resources have supported a two-generation approach that strengthens both children’s development and parents’ economic stability, creating more resilient families. Investments in civic infrastructure like Pittsburgh Yards have expanded opportunities for local entrepreneurs and provided shared spaces that anchor community life. Most importantly, residents are engaged as equal partners: setting priorities, leading initiatives, and ensuring that change is not only responsive to their needs but also sustainable for future generations.",693,"The Annie E. Casey Foundation has advanced a two-generation, place-based strategy in South Atlanta that supports children’s development and parents’ economic stability while investing in civic infrastructure through Pittsburgh Yards. This 31-acre redevelopment includes the Nia Building, a 61,000 ft² hub with more than 100 small-business and maker spaces, a container courtyard, community greenspace, and pad-ready sites, all co-designed with residents to reflect their priorities. By mid-2019, more than 60% of phase-one construction contracts were awarded to firms owned by people of color. Pittsburgh Yards blends long-term economic opportunity with resident leadership and equitable development.",700,"Cradle to Career, Economic Opportunity, Retail, Industry, Economic Mobility & Generational Wealthbuilding, Public Space",Urban,,,,,,,Annie E. Casey Foundation,,Planned,,,,,,,33.7501275,-84.3885209
